id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,target
365,-0.11207411761620897,-1.370471335069091,-1.1282887813415305,2.7657316295201837,3.9824358679035443,-1.6046258962798507,-1.0586137862929683,-0.2717130187638599,0.10910045047494424,-1.1528330209014275,-1.5235300902976388,1.8617885472678128,-0.3118526843293483,-0.10581469714162473,1.8505748191950033,-0.9278551917416482,1.4703590541726532,-0.4452837501526412,-3.156042383968151,-2.2454144007290444,0
1525,-4.231477579965974,2.1730074514619844,0.03363130150983299,2.3019763630787273,2.8269428865489257,3.0205665394764933,1.594146348186323,-0.4737513144737713,-0.36388847713085193,-0.39148523957443815,-2.868417201696392,0.17126967647690197,1.2269424143302976,-3.010067609158924,3.6054732066847626,-1.7521779272483493,-0.14003259947324587,0.18933662844068566,-1.9696921354724366,-1.2492612823393472,1
1914,-1.9281685573865133,1.6015139282569169,1.7369440902069477,-1.440055463088146,-2.1477546907658533,-1.4274306116645508,-0.6178936477303067,3.0431944541966995,-1.6923398219379318,-0.5738442829117406,2.6216434529371515,-1.3306062465101605,0.4252406865273575,1.1951442726233579,-4.0705871321629,1.306855072928042,0.5527822659217791,1.5591020148717747,1.7256137623997332,-0.42215521526037725,0
1957,-1.9533127446933751,0.5325264987136904,0.71267889763658,0.5254199819624721,0.7367296101092629,-2.481833080934866,2.5804696362437074,0.6540657557518696,-0.37564274123828933,-0.9938464305326766,3.2095218490928565,-0.7193505853193635,-1.3726739234720438,-0.7463341263440115,-4.768002901637193,-0.1207875505097149,-1.1242852891689354,4.217588398354081,-1.3730263463050196,-1.6030807521380503,0
1108,2.8985878451867517,-2.257015181284829,0.7008664510548424,-0.950932077018621,-2.8489592206051686,-4.393949622663377,-2.115547353452455,0.07463440753425954,-0.004227497747253465,-0.06860057857257823,5.386707348206449,-0.5752897319410818,-0.3582198731863914,1.0791914898518893,-8.038623237984337,1.5517022352787329,-2.4851830625719815,2.9878918601444315,0.5786026678251579,0.6170935479401171,0
624,-6.749778592306747,0.9618747841763581,1.0133998231900496,3.1138495497681564,0.40030241232047326,-4.766629897804422,0.031481959308703254,-0.34388747732379166,-1.8249604812902063,1.0584100502205742,-5.182603401452537,-2.093848530411529,0.04256386914294591,-2.808134803475754,-0.6353951719931455,2.3745693264246714,0.8372606163420597,-2.891846004910657,-6.46546177986181,-0.1580364093187935,1
1102,4.244001380912275,1.9691782216753069,-0.9924596950201504,-2.384476161346088,-2.4844196850917237,-1.5320306107555393,-0.5711306066265065,-0.716569556240348,0.037337063028996156,-1.0869918160391618,-2.0603852550851793,-0.2910409024265761,-0.47587039645813434,3.2360080021012574,-1.6610398209915527,2.927552387538676,-1.9443197310682856,0.06736066387971551,2.3030469130218165,0.6499755881725213,0
1913,3.938913606605555,-0.19322145176915562,-2.397559221682356,-1.4627588880315348,-2.7833431542807174,-1.4568898733489652,-0.8105094890408671,-1.2923547611745512,0.6542408950358976,-1.132950976978281,0.22119383305190957,-0.5247201694684672,-0.9433629366166872,1.8498305332182554,-2.8403972873716623,1.6945662775791888,-2.4822148857931294,0.21531439555677556,1.413145847599416,-0.02940232008580047,0
1634,3.4419578987291297,-0.5055751949920118,0.176255705574169,0.8755095928902769,-3.5768278249532286,3.9318463792515512,1.436259766798114,0.7802517245045049,0.40026459905800316,-0.36949593020715293,-0.7535277740061769,0.730216129590774,-0.10114035195551595,1.7257534484697554,0.5634274673132663,-0.4863493224871931,-1.9912527665392523,-3.8412914491850367,3.4865787437152678,0.4017144380767703,0
814,3.047523586722641,-0.7839592180903325,-1.1457201474055119,-2.847170247497989,-2.2877731323744026,-0.6562791661295153,0.6177884104387701,-1.0541561264742365,0.7329673163160206,-0.7229879570292739,0.8157233904617859,0.5064140977409405,-2.161187215682365,0.04300868244768108,-0.8860973646314351,2.233874164329764,-0.8426281127745207,0.015067908613767833,2.3950727897021222,-1.7085680830594192,0
